Date,Value
2018-03-30,65.03
2018-03-23,64.16
2018-03-16,61.31
2018-03-09,61.7
2018-03-02,62.16
2018-02-23,62.32
2018-02-16,60.42
2018-02-09,61.94
2018-02-02,65.21
2018-01-26,65.04
2018-01-19,63.86
2018-01-12,63.27
2018-01-05,61.17
2017-12-29,59.97
2017-12-22,57.91
2017-12-15,57.21
2017-12-08,57.02
2017-12-01,57.83
2017-11-24,56.98
2017-11-17,55.9
2017-11-10,57.13
2017-11-03,54.6
2017-10-27,52.62
2017-10-20,51.71
2017-10-13,51.07
2017-10-06,50.21
2017-09-29,51.89
2017-09-22,50.2
2017-09-15,49.08
2017-09-08,48.6
2017-09-01,46.7
2017-08-25,47.74
2017-08-18,47.5
2017-08-11,49.11
2017-08-04,49.51
2017-07-28,48.35
2017-07-21,46.42
2017-07-14,45.51
2017-07-07,45.49
2017-06-30,44.67
2017-06-23,43.14
2017-06-16,45.29
2017-06-09,46.56
2017-06-02,48.5
2017-05-26,50.45
2017-05-19,49.25
2017-05-12,47.06
2017-05-05,47.21
2017-04-28,49.34
2017-04-21,51.08
2017-04-14,53.19
2017-04-07,51.27
2017-03-31,49.31
2017-03-24,47.85
2017-03-17,48.5
2017-03-10,50.88
2017-03-03,53.57
2017-02-24,54.02
2017-02-17,53.2
2017-02-10,52.88
2017-02-03,53.34
2017-01-27,53.13
2017-01-20,51.84
2017-01-13,52.08
2017-01-06,53.34
2016-12-30,53.86
2016-12-23,52.56
2016-12-16,51.93
2016-12-09,50.97
2016-12-02,48.9
2016-11-25,47.83
2016-11-18,45.16
2016-11-11,44.95
2016-11-04,45.52
2016-10-28,49.62
2016-10-21,50.62
2016-10-14,50.44
2016-10-07,49.52
2016-09-30,46.74
2016-09-23,44.58
2016-09-16,44.34
2016-09-09,45.96
2016-09-02,45.13
2016-08-26,47.38
2016-08-19,47.17
2016-08-12,43.1
2016-08-05,40.83
2016-07-29,42.14
2016-07-22,44.75
2016-07-15,45.59
2016-07-08,46.15
2016-07-01,48.28
2016-06-24,49.02
2016-06-17,47.91
2016-06-10,50.18
2016-06-03,48.91
2016-05-27,49.01
2016-05-20,48.03
2016-05-13,45.45
2016-05-06,44.24
2016-04-29,44.79
2016-04-22,42.08
2016-04-15,41.23
2016-04-08,37.26
2016-04-01,38.22
2016-03-25,40.15
2016-03-18,38.32
2016-03-11,37.81
2016-03-04,34.66
2016-02-26,32.27
2016-02-19,30.03
2016-02-12,28.15
2016-02-05,31.28
2016-01-29,32.19
2016-01-22,29.18
2016-01-15,30.59
2016-01-08,34.63
2016-01-01,37.08
2015-12-25,36.62
2015-12-18,35.77
2015-12-11,36.94
2015-12-04,40.9
2015-11-27,42.34
2015-11-20,40.82
2015-11-13,42.64
2015-11-06,45.97
2015-10-30,45.15
2015-10-23,45.32
2015-10-16,46.74
2015-10-09,48.33
2015-10-02,45.01
2015-09-25,45.52
2015-09-18,45.46
2015-09-11,45.16
2015-09-04,46.73
2015-08-28,40.79
2015-08-21,41.38
2015-08-14,43.21
2015-08-07,44.92
2015-07-31,47.96
2015-07-24,49.26
2015-07-17,51.69
2015-07-10,52.41
2015-07-03,57.92
2015-06-26,60.06
2015-06-19,59.89
2015-06-12,60.09
2015-06-05,59.65
2015-05-29,58.38
2015-05-22,59.22
2015-05-15,60.01
2015-05-08,59.72
2015-05-01,58.28
2015-04-24,56.54
2015-04-17,54.81
2015-04-10,51.79
2015-04-03,48.88
2015-03-27,48.89
2015-03-20,44.34
2015-03-13,47.67
2015-03-06,50.4
2015-02-27,49.53
2015-02-20,51.79
2015-02-13,51.14
2015-02-06,50.65
2015-01-30,45.72
2015-01-23,46.52
2015-01-16,47.08
2015-01-09,48.75
2015-01-02,53.42
2014-12-26,55.74
2014-12-19,55.79
2014-12-12,61.11
2014-12-05,67.18
2014-11-28,72.43
2014-11-21,75.38
2014-11-14,76.51
2014-11-07,78.24
2014-10-31,81.26
