Date,Crude,Heating
1989-08-11,18.26,20.748
1989-08-18,18.74,21.294
1989-08-25,18.82,21.714
1989-09-01,18.76,22.26
1989-09-08,19.37,23.352
1989-09-15,19.8,23.352
1989-09-22,19.6,23.688
1989-09-29,19.71,24.528
1989-10-06,20.02,24.738
1989-10-13,20.36,25.242
1989-10-20,20.46,25.494
1989-10-27,19.65,24.36
1989-11-03,19.99,24.948
1989-11-10,19.95,24.822
1989-11-17,19.71,24.402
1989-11-24,19.9,25.452
1989-12-01,19.69,25.83
1989-12-08,20.41,27.216
1989-12-15,20.77,28.56
1989-12-22,21.71,32.508
1989-12-29,21.75,40.992
1990-01-05,23.27,31.164
1990-01-12,22.57,28.14
1990-01-19,22.73,26.418
1990-01-26,22.11,25.116
1990-02-02,22.73,24.822
1990-02-09,22.21,23.394
1990-02-16,22.25,24.066
1990-02-23,21.78,24.276
1990-03-02,21.49,23.94
1990-03-09,21,23.562
1990-03-16,20.19,22.722
1990-03-23,19.85,23.1
1990-03-30,20.27,23.436
1990-04-06,19.83,22.848
1990-04-13,17.99,22.344
1990-04-20,17.65,22.47
1990-04-27,18.75,22.26
1990-05-04,18.4,21.966
1990-05-11,18.7,21.504
1990-05-18,19.19,21.798
1990-05-25,17.94,21.21
1990-06-01,17.74,21
1990-06-08,16.84,20.034
1990-06-15,17.13,20.202
1990-06-22,16.26,20.118
1990-06-29,17.08,20.412
1990-07-06,16.62,20.328
1990-07-13,17.56,21.504
1990-07-20,18.89,23.562
1990-07-27,20.36,23.94
1990-08-03,22.01,25.746
1990-08-10,26.84,30.492
1990-08-17,27.22,31.71
1990-08-24,30.21,37.38
1990-08-31,26.96,31.962
1990-09-07,30.09,35.49
1990-09-14,31.17,35.112
1990-09-21,34.07,37.758
1990-09-28,38.7,43.428
1990-10-05,36.66,41.496
1990-10-12,39.63,43.722
1990-10-19,36.83,41.076
1990-10-26,31.22,35.448
1990-11-02,34.72,37.8
1990-11-09,33.86,37.632
1990-11-16,31.41,36.33
1990-11-23,30.49,36.246
1990-11-30,32.17,38.304
1990-12-07,28.02,34.566
1990-12-14,26.33,32.172
1990-12-21,26.83,32.424
1990-12-28,27.27,33.852
1991-01-04,26.33,30.786
1991-01-11,27.42,32.088
1991-01-18,26.71,32.676
1991-01-25,22.12,28.854
1991-02-01,21.33,28.77
1991-02-08,21.29,27.216
1991-02-15,22.23,28.35
1991-02-22,19.24,25.914
1991-03-01,18.74,26.04
1991-03-08,19.83,23.52
1991-03-15,19.88,23.436
1991-03-22,20.27,24.192
1991-03-29,19.61,23.814
1991-04-05,19.68,22.638
1991-04-12,20.8,23.226
1991-04-19,21.49,23.562
1991-04-26,21.17,23.73
1991-05-03,21.2,22.806
1991-05-10,21.66,23.352
1991-05-17,20.93,23.226
1991-05-24,21.16,23.52
1991-05-31,21.22,23.604
1991-06-07,20.65,23.058
1991-06-14,19.85,22.428
1991-06-21,20.09,22.68
1991-06-28,20.23,22.764
1991-07-05,20.79,23.688
1991-07-12,21.39,24.486
1991-07-19,21.87,24.906
1991-07-26,21.5,24.528
1991-08-02,21.41,24.948
1991-08-09,21.48,24.99
1991-08-16,21.46,25.242
1991-08-23,21.96,26.67
1991-08-30,21.98,26.376
1991-09-06,21.83,26.502
1991-09-13,21.52,25.83
1991-09-20,21.8,25.998
1991-09-27,22.2,26.67
1991-10-04,22.41,27.174
1991-10-11,23.04,28.308
1991-10-18,23.81,29.064
1991-10-25,23.48,29.022
1991-11-01,23.32,28.938
1991-11-08,23.44,29.778
1991-11-15,22.55,27.972
1991-11-22,21.92,26.796
1991-11-29,21.32,25.998
1991-12-06,20.56,25.032
1991-12-13,19.67,23.436
1991-12-20,19.25,22.848
1991-12-27,18.75,21.462
1992-01-03,19.12,21
1992-01-10,18.37,21.294
1992-01-17,18.84,22.806
1992-01-24,18.8,22.554
1992-01-31,19.05,22.554
1992-02-07,19.42,23.142
1992-02-14,19.49,23.31
1992-02-21,18.43,21.966
1992-02-28,18.56,21.546
1992-03-06,18.53,21.42
1992-03-13,18.77,21.84
1992-03-20,19.13,22.554
1992-03-27,19.2,22.218
1992-04-03,19.72,22.764
1992-04-10,20.41,23.478
1992-04-17,20.04,23.394
1992-04-24,20.19,23.562
1992-05-01,20.63,23.772
1992-05-08,20.85,24.066
1992-05-15,20.79,24.108
1992-05-22,20.58,23.604
1992-05-29,22,25.158
1992-06-05,22.33,25.536
1992-06-12,22.38,25.662
1992-06-19,22.29,25.662
1992-06-26,22.6,26.292
1992-07-03,21.95,25.578
1992-07-10,21.48,24.906
1992-07-17,21.58,25.242
1992-07-24,21.87,25.662
1992-07-31,21.96,25.704
1992-08-07,21.35,24.864
1992-08-14,21.13,24.486
1992-08-21,21.36,24.57
1992-08-28,21.27,24.654
1992-09-04,21.65,25.494
1992-09-11,21.97,26.082
1992-09-18,22.23,26.376
1992-09-25,21.85,26.46
1992-10-02,21.78,26.628
1992-10-09,21.97,26.964
1992-10-16,22.22,27.3
1992-10-23,21.63,26.502
1992-10-30,20.95,25.452
1992-11-06,20.55,24.738
1992-11-13,20.37,24.444
1992-11-20,20.35,24.192
1992-11-27,20.23,23.73
1992-12-04,19.37,23.184
1992-12-11,19.05,23.1
1992-12-18,19.4,23.184
1992-12-25,19.92,24.192
1993-01-01,19.64,23.94
1993-01-08,19.03,22.89
1993-01-15,18.65,22.26
1993-01-22,18.68,22.008
1993-01-29,19.93,23.226
1993-02-05,20.15,23.688
1993-02-12,20.11,23.688
1993-02-19,19.48,23.058
1993-02-26,20.45,24.192
1993-03-05,20.74,24.654
1993-03-12,20.44,24.36
1993-03-19,20.17,24.318
1993-03-26,20.12,24.318
1993-04-02,20.44,23.73
1993-04-09,20.38,23.688
1993-04-16,20.34,23.562
1993-04-23,20.14,23.226
1993-04-30,20.36,23.31
1993-05-07,20.47,23.478
1993-05-14,20.05,23.1
1993-05-21,19.48,22.806
1993-05-28,19.92,22.848
1993-06-04,19.95,22.932
1993-06-11,19.42,22.47
1993-06-18,18.74,21.924
1993-06-25,18.73,21.84
1993-07-02,18.63,21.84
1993-07-09,18,21.252
1993-07-16,17.72,20.916
1993-07-23,17.62,21.042
1993-07-30,18.14,21.336
1993-08-06,17.69,21.168
1993-08-13,17.85,21.672
1993-08-20,17.84,22.092
1993-08-27,18.47,22.302
1993-09-03,18.14,22.344
1993-09-10,16.96,21.504
1993-09-17,16.93,21.714
1993-09-24,17.72,22.47
1993-10-01,18.36,23.1
1993-10-08,18.45,23.436
1993-10-15,18.58,23.394
1993-10-22,18.17,22.638
1993-10-29,17.4,21.84
1993-11-05,17.31,21.966
1993-11-12,16.71,21.42
1993-11-19,16.76,21.714
1993-11-26,16.7,21.294
1993-12-03,15.23,19.53
1993-12-10,14.71,18.69
1993-12-17,14.32,18.564
1993-12-24,14.45,18.396
1993-12-31,14.21,18.564
1994-01-07,15.06,19.74
1994-01-14,14.63,20.454
1994-01-21,15.05,20.832
1994-01-28,15.31,21.63
1994-02-04,15.73,22.05
1994-02-11,14.87,21.084
1994-02-18,14.11,19.404
1994-02-25,14.5,20.202
1994-03-04,14.65,19.488
1994-03-11,14.19,18.27
1994-03-18,14.82,18.564
1994-03-25,15.14,19.068
1994-04-01,14.39,18.816
1994-04-08,15.69,19.11
1994-04-15,16.08,19.404
1994-04-22,16.75,19.698
1994-04-29,16.91,19.866
1994-05-06,17.18,19.866
1994-05-13,17.94,20.202
1994-05-20,18.2,20.034
1994-05-27,17.89,20.118
1994-06-03,18.22,20.58
1994-06-10,18.27,19.698
1994-06-17,19.64,20.874
1994-06-24,19.78,21.252
1994-07-01,19.2,21.042
1994-07-08,19.37,20.622
1994-07-15,20.17,21.042
1994-07-22,19.43,20.874
1994-07-29,19.63,21.336
1994-08-05,20.05,21.924
1994-08-12,18.88,20.874
1994-08-19,17.87,20.496
1994-08-26,17.22,20.202
1994-09-02,17.53,20.664
